time_tag,bt,bx_gse,by_gse,bz_gse,theta_gse,phi_gse,bx_gsm,by_gsm,bz_gsm,theta_gsm,phi_gsm
1,2.86,2.16,1.25,1.4100000000000001,29.47,29.99,2.16,1.72,0.76,15.37,38.56
2,2.87,2.19,1.2,1.4,29.39,28.75,2.19,1.6800000000000002,0.78,15.71,37.49
3,2.94,2.32,1.1,1.43,29.07,25.41,2.32,1.6,0.84,16.54,34.56
4,2.88,2.3,1.08,1.37,28.36,25.14,2.3,1.55,0.79,15.98,34.04
5,2.71,2.17,0.91,1.35,29.91,22.71,2.17,1.3900000000000001,0.85,18.25,32.66
6,2.89,2.3,0.98,1.44,29.93,23.16,2.3,1.5,0.9,18.11,33.04
7,2.92,2.34,0.9400000000000001,1.47,30.21,21.94,2.34,1.47,0.9400000000000001,18.8,32.14
8,2.92,2.29,1.1,1.45,29.71,25.67,2.29,1.6,0.86,17.04,35.04
9,2.9,2.31,0.9400000000000001,1.49,30.83,22.22,2.31,1.48,0.96,19.26,32.64
10,2.88,2.2800000000000002,0.93,1.48,31.07,22.23,2.2800000000000002,1.47,0.96,19.47,32.76
11,2.91,2.32,0.98,1.47,30.33,22.85,2.32,1.5,0.93,18.58,32.95
12,2.91,2.32,0.99,1.46,30.12,23.07,2.32,1.51,0.92,18.31,33.04
13,2.95,2.32,0.97,1.54,31.45,22.61,2.32,1.52,0.99,19.69,33.24
14,2.91,2.27,0.9400000000000001,1.56,32.44,22.52,2.27,1.51,1.02,20.62,33.6
15,2.87,2.27,0.86,1.53,32.2,20.83,2.27,1.42,1.03,20.99,32.1
16,2.93,2.34,0.87,1.52,31.35,20.27,2.34,1.42,1.02,20.42,31.26
17,2.95,2.4,0.8200000000000001,1.49,30.4,18.93,2.4,1.37,1.01,20.04,29.72
18,2.99,2.48,0.8,1.46,29.33,17.81,2.48,1.34,1.0,19.48,28.3
19,3.0,2.43,0.9,1.51,30.12,20.35,2.43,1.45,0.99,19.27,30.78
20,2.99,2.45,0.85,1.5,30.07,19.18,2.45,1.4,1.01,19.65,29.78
21,3.0,2.38,0.86,1.62,32.63,19.92,2.38,1.46,1.11,21.71,31.54
22,2.94,2.31,0.85,1.62,33.32,20.27,2.31,1.45,1.11,22.21,32.15
23,2.94,2.38,0.9,1.48,30.28,20.74,2.38,1.44,0.97,19.28,31.18
24,2.98,2.52,0.84,1.3599999999999999,27.1,18.36,2.52,1.33,0.88,17.26,27.78
25,3.04,2.61,0.67,1.3900000000000001,27.32,14.38,2.61,1.19,0.99,18.94,24.51
26,3.03,2.58,0.6900000000000001,1.43,28.1,14.91,2.58,1.22,1.01,19.45,25.31
27,2.9699999999999998,2.49,0.64,1.49,30.08,14.51,2.49,1.21,1.08,21.38,25.89
28,3.01,2.56,0.78,1.4,27.68,16.97,2.56,1.29,0.9500000000000001,18.3,26.86
29,3.07,2.55,0.67,1.57,30.82,14.78,2.55,1.27,1.15,21.94,26.46
30,3.06,2.59,0.79,1.42,27.63,17.04,2.59,1.31,0.96,18.23,26.9
31,2.99,2.55,0.8300000000000001,1.32,26.18,18.07,2.55,1.31,0.85,16.52,27.14
32,3.0,2.56,0.87,1.31,25.86,18.72,2.56,1.33,0.8300000000000001,15.98,27.56
33,3.08,2.46,0.91,1.62,31.7,20.4,2.46,1.51,1.09,20.69,31.53
34,2.9699999999999998,2.23,0.81,1.79,37.04,19.97,2.23,1.48,1.29,25.67,33.65
35,2.92,2.26,0.89,1.62,33.78,21.43,2.26,1.48,1.1,22.21,33.31
36,2.95,2.39,0.8300000000000001,1.52,30.96,19.18,2.39,1.3900000000000001,1.03,20.46,30.18
37,3.01,2.5,0.92,1.4100000000000001,27.93,20.33,2.5,1.43,0.9,17.28,29.81
38,3.03,2.6,0.9500000000000001,1.21,23.66,20.13,2.6,1.37,0.7000000000000001,13.46,27.84
39,2.88,2.4,0.78,1.37,28.51,18.08,2.4,1.29,0.92,18.64,28.17
40,2.89,2.44,0.86,1.29,26.49,19.32,2.44,1.32,0.81,16.34,28.34
41,2.92,2.46,0.8200000000000001,1.34,27.2,18.51,2.46,1.31,0.87,17.29,27.96
