time_tag,active,source,range,scale,sensitivity,manual_mode,sample_size,bt,bx_gse,by_gse,bz_gse,theta_gse,phi_gse,bx_gsm,by_gsm,bz_gsm,theta_gsm,phi_gsm,max_telemetry_flag,max_data_flag,overall_quality
1,True,DSCOVR,0.0,4.0,0.002,False,3000,3.03,2.87,0.75,-0.23,-4.42,14.57,2.87,0.58,-0.52,-10.08,11.45,0,0,0
2,True,DSCOVR,0.0,4.0,0.002,False,3000,3.2800000000000002,3.12,0.8200000000000001,-0.48,-8.53,14.74,3.12,0.54,-0.78,-13.9,9.86,0,0,0
3,True,DSCOVR,0.0,4.0,0.002,False,3000,3.08,2.71,0.89,-1.01,-19.47,18.07,2.71,0.38,-1.29,-25.17,7.97,0,0,0
4,True,DSCOVR,0.0,4.0,0.002,False,3000,2.93,2.5,1.01,-1.11,-22.31,22.0,2.5,0.45,-1.43,-29.35,10.24,0,0,0
5,True,DSCOVR,0.0,4.0,0.002,False,3000,3.01,2.5300000000000002,1.31,-0.91,-17.77,27.37,2.5300000000000002,0.8,-1.38,-27.46,17.63,0,0,0
6,True,DSCOVR,0.0,4.0,0.002,False,3000,2.92,2.47,1.42,-0.52,-10.35,29.84,2.47,1.07,-1.07,-21.66,23.34,0,0,0
7,True,DSCOVR,0.0,4.0,0.002,False,3000,3.26,2.69,1.73,0.65,11.48,32.75,2.69,1.8399999999999999,-0.14,-2.47,34.42,0,0,0
8,True,DSCOVR,0.0,4.0,0.002,False,3000,3.17,2.55,1.6099999999999999,0.93,17.14,32.22,2.55,1.85,0.16,2.99,35.95,0,0,0
9,True,DSCOVR,0.0,4.0,0.002,False,3000,3.2,2.65,1.63,0.74,13.42,31.64,2.65,1.8,-0.02,-0.3,34.09,0,0,0
10,True,DSCOVR,0.0,4.0,0.002,False,3000,3.17,2.64,1.7000000000000002,0.3,5.4,32.79,2.64,1.6600000000000001,-0.45,-8.21,32.27,0,0,0
11,True,DSCOVR,0.0,4.0,0.002,False,3000,2.99,2.61,1.42,-0.02,-0.48,28.55,2.61,1.27,-0.62,-12.12,26.05,0,0,0
12,True,DSCOVR,0.0,4.0,0.002,False,3000,3.04,2.55,1.57,0.22,4.27,31.62,2.55,1.52,-0.46,-8.87,30.74,0,0,0
13,True,DSCOVR,0.0,4.0,0.002,False,2907,3.5700000000000003,3.16,1.56,0.31,5.09,26.31,3.16,1.55,-0.38,-6.14,26.1,0,0,0
14,True,DSCOVR,0.0,4.0,0.002,False,2993,3.75,3.35,1.62,0.41000000000000003,6.27,25.73,3.35,1.6400000000000001,-0.32,-4.84,26.02,0,0,0
15,True,DSCOVR,0.0,4.0,0.002,False,3000,3.63,3.19,1.58,0.65,10.36,26.39,3.19,1.71,-0.08,-1.32,28.19,0,0,0
16,True,DSCOVR,0.0,4.0,0.002,False,3000,3.61,3.33,1.35,0.03,0.54,22.04,3.33,1.23,-0.54,-8.69,20.34,0,0,0
17,True,DSCOVR,0.0,4.0,0.002,False,3000,3.65,3.34,1.47,-0.1,-1.55,23.71,3.34,1.28,-0.71,-11.28,21.04,0,0,0
18,True,DSCOVR,0.0,4.0,0.002,False,3000,3.45,3.0,1.44,0.03,0.47000000000000003,25.61,3.0,1.31,-0.59,-10.19,23.63,0,0,0
19,True,DSCOVR,0.0,4.0,0.002,False,3000,3.67,2.86,1.88,1.31,20.88,33.26,2.86,2.25,0.38,5.95,38.23,0,0,0
20,True,DSCOVR,0.0,4.0,0.002,False,3000,3.4,2.73,1.6099999999999999,1.22,21.11,30.57,2.73,1.98,0.42,7.07,35.97,0,0,0
21,True,DSCOVR,0.0,4.0,0.002,False,3000,3.29,2.68,1.53,1.1400000000000001,20.34,29.75,2.68,1.87,0.38,6.62,34.97,0,0,0
22,True,DSCOVR,0.0,4.0,0.002,False,3000,3.21,2.63,1.42,1.1400000000000001,20.94,28.32,2.63,1.77,0.43,7.66,33.94,0,0,0
23,True,DSCOVR,0.0,4.0,0.002,False,3000,3.35,2.88,1.37,1.01,17.51,25.39,2.88,1.67,0.32,5.55,30.05,0,0,0
24,True,DSCOVR,0.0,4.0,0.002,False,3000,3.32,2.75,1.4100000000000001,1.2,21.25,27.13,2.75,1.79,0.48,8.35,33.03,0,0,0
25,True,DSCOVR,0.0,4.0,0.002,False,3000,3.4,2.89,1.37,1.15,19.84,25.35,2.89,1.73,0.45,7.68,30.93,0,0,0
26,True,DSCOVR,0.0,4.0,0.002,False,2907,3.18,2.66,1.29,1.11,20.58,25.82,2.66,1.6400000000000001,0.45,8.18,31.64,0,0,0
27,True,DSCOVR,0.0,4.0,0.002,False,2993,3.1,2.58,1.25,1.19,22.6,25.84,2.58,1.6400000000000001,0.54,10.02,32.46,0,0,0
28,True,DSCOVR,0.0,4.0,0.002,False,3000,3.6,3.07,1.33,1.29,21.08,23.45,3.07,1.76,0.59,9.49,29.78,0,0,0
29,True,DSCOVR,0.0,4.0,0.002,False,3000,3.66,3.18,1.26,1.3,20.86,21.65,3.18,1.7000000000000002,0.63,9.95,28.14,0,0,0
