proton_vx_gse,proton_vy_gse,proton_vz_gse,proton_vx_gsm,proton_vy_gsm,proton_vz_gsm
1,34.8,11.2,-329.6,36.3,-4.4
2,,,,,
3,,,,,
4,34.4,10.9,-329.6,35.8,-4.6
5,,,,,
6,34.4,10.2,-329.3,35.5,-5.2
7,34.9,10.6,-326.5,36.2,-5.1
8,,,,,
9,,,,,
10,35.1,10.2,-326.6,36.1,-5.5
11,,,,,
12,34.6,10.5,-326.3,35.8,-5.1
13,,,,,
14,34.8,8.5,-329.5,35.2,-6.9
15,,,,,
16,37.1,6.6,-330.0,36.4,-9.7
17,36.9,7.5,-328.2,36.6,-8.8
18,,,,,
19,37.1,7.4,-327.6,36.7,-9.0
20,,,,,
21,,,,,
22,37.6,7.6,-327.5,37.3,-9.0
23,,,,,
24,36.6,6.0,-327.2,35.7,-10.1
25,36.2,5.8,-326.6,35.2,-10.1
26,,,,,
27,,,,,
28,34.8,5.1,-326.2,33.7,-10.2
29,35.1,5.4,-325.8,34.1,-10.0
30,,,,,
31,35.1,7.5,-326.1,34.9,-8.1
32,,,,,
33,,,,,
34,35.5,8.6,-326.2,35.8,-7.3
35,34.3,7.6,-324.8,34.3,-7.8
36,,,,,
37,,,,,
38,32.1,4.8,-324.4,31.1,-9.3
39,32.0,5.2,-323.1,31.2,-8.9
40,,,,,
41,31.3,5.4,-322.8,30.6,-8.5
42,,,,,
43,30.7,5.5,-321.8,30.1,-8.2
44,,,,,
45,30.4,5.7,-321.0,29.9,-7.8
46,,,,,
47,29.7,5.8,-320.5,29.3,-7.5
48,,,,,
49,29.8,6.3,-319.8,29.6,-7.1
50,,,,,
51,30.6,6.8,-318.5,30.6,-7.0
52,,,,,
53,,,,,
54,30.0,5.7,-316.4,29.5,-7.7
55,,,,,
56,29.9,5.2,-317.4,29.2,-8.2
57,,,,,
58,29.8,5.0,-317.4,29.0,-8.3
59,29.7,6.7,-314.6,29.7,-6.7
60,,,,,
61,,,,,
62,29.9,12.4,-311.5,32.3,-1.7000000000000002
63,,,,,
64,28.3,8.5,-313.1,29.2,-4.5
65,,,,,
66,26.9,7.7,-313.3,27.6,-4.7
67,28.6,13.4,-311.0,31.6,-0.30000000000000004
68,,,,,
69,,,,,
70,29.4,11.9,-311.2,31.7,-2.1
71,,,,,
72,27.6,4.9,-312.5,27.0,-7.5
73,,,,,
74,26.8,4.5,-312.6,26.2,-7.6
75,,,,,
76,24.9,4.9,-315.9,24.6,-6.4
77,24.4,5.4,-315.6,24.4,-5.7
78,,,,,
79,,,,,
80,25.6,6.8,-316.0,26.0,-5.0
81,,,,,
82,26.2,7.7,-313.8,27.0,-4.5
83,25.4,8.7,-314.8,26.7,-3.2
84,,,,,
85,26.3,8.5,-316.4,27.4,-3.8
86,,,,,
87,26.4,8.9,-316.3,27.6,-3.5
88,,,,,
89,,,,,
90,27.3,9.3,-316.3,28.6,-3.5
91,27.8,8.7,-316.8,28.8,-4.3
92,,,,,
93,28.3,9.5,-315.4,29.6,-3.8
94,,,,,
95,29.7,9.0,-315.6,30.7,-4.9
96,30.5,8.3,-315.9,31.1,-6.0
97,,,,,
98,31.2,8.2,-316.1,31.7,-6.3
99,,,,,
100,30.9,7.9,-315.7,31.3,-6.5
101,,,,,
102,30.9,10.3,-316.2,32.3,-4.3
103,,,,,
104,32.1,10.7,-316.5,33.5,-4.5
105,,,,,
106,31.1,9.5,-315.0,32.1,-5.1
107,,,,,
108,,,,,
109,29.4,9.6,-313.1,30.7,-4.4
110,29.1,10.8,-314.4,30.8,-3.2
111,,,,,
112,28.6,11.2,-314.8,30.6,-2.6
113,,,,,
114,,,,,
115,29.5,12.9,-315.3,32.2,-1.5
116,,,,,
117,30.7,13.8,-313.9,33.6,-1.1
118,,,,,
119,31.6,11.9,-313.3,33.6,-3.3
120,,,,,
121,32.7,13.8,-313.3,35.4,-2.0
