hour1,hour2,hour3,hour4,hour5,hour6,hour7,hour8,hour9,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,hour24
4,2,2,2,4,-3,-8,-8,-9,-7,-2,-2,-8,-16,-17,-19,-12,-7,-7,-12,-9,-12,-9,-5
-6,-4,-2,-6,-5,-21,-26,-28,-43,-61,-60,-57,-61,-50,-55,-62,-54,-43,-39,-42,-49,-45,-40,-33
-41,-38,-20,-12,-14,-22,-32,-22,-29,-31,-27,-23,-29,-29,-30,-35,-32,-26,-24,-23,-23,-22,-26,-29
-34,-34,-30,-24,-22,-21,-16,-14,-13,-9,-9,-10,-14,-18,-20,-17,-17,-18,-13,-11,-13,-14,-15,-15
-13,-9,-4,-4,-2,-1,-1,-2,2,3,3,5,2,-1,-2,3,5,0,-3,-12,-10,-9,-10,-9
-7,-6,-9,-7,-2,-2,-3,-5,-2,-1,0,-2,-5,-12,-13,-7,-2,-1,-5,-8,-7,-5,-2,-3
-4,-9,-9,-5,-2,-1,-1,3,3,4,5,1,0,-3,-2,-4,-4,1,1,-1,-3,-6,-8,-10
-10,-8,-3,-1,4,4,4,3,2,2,3,3,4,7,9,10,10,1,1,4,7,7,6,6
2,-4,-5,-4,-6,-5,-2,-2,-2,-8,-6,-2,-2,-7,-9,-6,-6,-4,-1,3,3,1,3,2
3,2,3,3,4,4,3,4,5,7,6,4,3,0,-2,-1,-3,0,2,2,3,4,4,6
10,18,19,19,18,18,19,17,16,13,13,12,12,14,12,9,9,10,9,6,4,3,4,10
13,17,15,14,14,13,15,19,20,21,19,22,31,27,11,-19,-36,-55,-55,-60,-68,-75,-82,-74
-67,-62,-59,-50,-51,-45,-42,-31,-30,-24,-26,-36,-36,-37,-39,-38,-36,-30,-28,-31,-36,-41,-41,-40
-37,-27,-28,-21,-17,-20,-16,-10,-11,-3,-7,-10,-9,-10,-7,-2,1,-1,-18,-26,-24,-34,-27,-25
-27,-24,-22,-22,-20,-16,-14,-11,-10,-9,-9,-10,-8,-9,-10,-10,-12,-17,-15,-11,-11,-17,-16,-17
-16,-11,-9,-5,-4,-4,-4,-3,-4,-1,0,1,1,1,1,2,5,1,-6,-11,-15,-21,-23,-21
-13,-6,6,-1,-4,1,4,5,-2,-6,-8,-6,-6,-10,-8,-6,-2,0,3,4,-2,-3,4,6
6,2,-3,-10,-18,-23,-22,-20,-16,-15,-17,-15,-15,1,9,6,0,-28,-60,-73,-70,-57,-51,-52
-51,-58,-85,-75,-80,-77,-69,-69,-65,-55,-54,-57,-66,-66,-65,-67,-59,-47,-48,-44,-42,-45,-41,-37
-42,-39,-37,-33,-29,-28,-27,-26,-26,-20,-24,-30,-25,-21,-19,-17,-17,-17,-13,-14,-12,-14,-12,-20
-15,-9,-9,-6,-7,-6,-10,-12,-9,-9,-10,-9,-12,-16,-23,-22,-17,-16,-16,-22,-26,-29,-27,-22
-22,-20,-20,-18,-15,-12,-12,-12,-5,-7,-11,-11,-15,-15,-17,-18,-15,-15,-15,-17,-16,-16,-16,-17
-16,-15,-15,-11,-11,-15,-19,-12,-13,-21,-26,-21,-20,-20,-18,-19,-16,-12,-13,-19,-17,-20,-21,-21
-22,-22,-20,-19,-19,-24,-26,-24,-25,-25,-17,-16,-17,-17,-15,-14,-13,-11,-7,-8,0,5,-23,-45
-51,-50,-69,-53,-43,-51,-34,-27,-33,-24,-28,-19,0,0,0,-8,-5,-5,-7,-10,-15,-13,-14,-19
-22,-22,-20,-24,-24,-30,-41,-39,-47,-47,-53,-56,-58,-53,-45,-46,-42,-44,-45,-45,-40,-35,-30,-28
-18,-13,-11,-11,-16,-15,-4,-14,-16,-5,2,-9,-11,1,9,10,9,-2,-16,-17,-18,-17,-14,-14
-18,-23,-24,-26,-26,-22,-21,-20,-20,-19,-22,-17,-15,-14,-13,-10,-8,-6,-5,-5,-4,0,1,-1
-4,-2,-4,-11,-19,-25,-32,-40,-44,-43,-47,-39,-35,-21,-17,-16,-13,-13,-12,-15,-17,-14,-10,-6
-5,-5,-4,-7,-8,-10,-16,-21,-26,-30,-26,-25,-20,-22,-24,-23,-20,-20,-22,-24,-27,-28,-28,-33
