hour1,hour2,hour3,hour4,hour5,hour6,hour7,hour8,hour9,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,hour24
-36,-29,-24,-24,-19,-16,-16,-17,-14,-12,-11,-13,-21,-22,-20,-17,-15,-12,-11,-10,-11,-8,-3,-3
-10,-15,-21,-15,-13,-18,-21,-22,-20,-19,-15,-9,-4,-2,-7,-6,-5,-8,-8,-11,-7,-4,-1,2
1,0,-3,-4,-4,-5,-7,-5,-4,-2,-4,-6,-1,-4,-14,-22,-25,-30,-28,-21,-19,-13,-10,-12
-12,-13,-11,-12,-10,-14,-15,-14,-18,-11,-9,-15,-20,-22,-20,-18,-12,-10,-9,-8,-4,-8,-11,-9
-8,-13,-30,-40,-33,-29,-32,-29,-26,-29,-28,-17,-14,-17,-20,-16,-15,-12,-11,-10,-10,-6,2,3
2,0,-5,-9,-8,-5,-3,2,2,6,7,2,4,3,1,-2,-4,-4,-3,-1,0,7,18,13
7,2,-2,-7,-8,-4,2,7,10,10,10,100,11,8,3,0,-1,1,2,2,3,4,3,-2
-12,-17,-22,-23,-21,-18,-16,-15,-14,-14,-11,-5,-1,2,2,5,4,1,1,4,8,14,22,20
18,17,14,14,17,14,13,11,11,5,-4,-9,-11,-12,-11,-17,-20,-19,-21,-14,-9,-2,1,0
-3,-6,-7,-4,-1,-2,2,6,0,0,2,2,2,0,0,2,6,7,5,3,6,11,14,11
8,6,8,10,9,7,7,10,9,10,11,13,14,15,12,8,5,6,7,6,9,13,18,16
12,11,9,7,9,11,10,12,13,17,19,17,16,16,15,16,17,16,18,21,26,27,30,28
24,22,24,26,25,16,10,15,24,21,24,24,18,10,17,19,10,18,8,7,13,9,9,4
1,3,1,-1,-2,-2,-2,-3,-3,-5,0,2,5,7,7,7,9,9,7,5,10,15,20,18
11,7,6,8,9,8,5,5,7,10,10,100,12,14,11,8,8,6,3,4,6,11,16,13
10,9,10,11,11,8,6,4,2,3,4,10,12,13,14,15,14,12,9,10,13,17,19,15
11,9,7,9,14,15,14,11,8,10,11,15,17,18,18,17,16,16,15,16,18,21,23,23
20,17,14,20,31,29,23,24,26,28,210,26,14,-2,0,-3,-10,-7,-11,-16,-19,-16,-12,-11
-13,-19,-24,-25,-23,-23,-25,-26,-31,-31,-19,-17,-17,-18,-22,-22,-24,-22,-19,-12,-8,-4,3,5
3,0,-4,-2,-2,-2,1,-1,-4,2,5,14,16,15,10,7,7,6,4,-1,-11,-15,-19,-29
-38,-47,-51,-52,-56,-68,-75,-82,-79,-70,-61,-58,-53,-48,-46,-44,-44,-36,-33,-31,-25,-18,-13,-18
-22,-27,-34,-32,-24,-17,-18,-21,-26,-240,-24,-19,-15,-12,-12,-17,-18,-16,-12,-16,-18,-12,-1,-3
-9,-11,-10,-6,-5,-5,-5,-4,-7,-6,-3,1,1,3,1,0,1,4,5,4,9,11,13,10
4,2,1,2,5,3,2,0,-2,3,6,12,10,8,4,3,5,7,2,-1,3,10,14,13
11,7,8,10,10,10,8,6,2,2,3,70,11,12,11,10,12,8,7,10,12,13,13,11
4,-3,-1,3,10,7,9,10,7,-3,-16,-28,-24,-14,-23,-28,-27,-25,-26,-30,-25,-33,-21,-19
-24,-31,-41,-38,-33,-32,-42,-42,-40,-36,-34,-28,-22,-18,-19,-21,-21,-18,-16,-13,-6,1,7,4
-1,-4,-4,-2,2,0,-16,-21,-28,-41,-480,-48,-45,-33,-29,-37,-37,-38,-32,-35,-27,-19,-7,-14
-34,-37,-28,-26,-38,-45,-41,-35,-49,-48,-49,-40,-29,-27,-25,-29,-27,-22,-20,-26,-23,-14,-12,-14
-23,-30,-33,-29,-22,-19,-20,-21,-25,-24,-22,-21,-17,-17,-16,-11,-8,-9,-12,-11,-8,-6,-1,0
-3,-8,-12,-10,-6,-4,-7,-9,-11,-13,-19,-19,-10,-9,-8,-11,-10,-9,-10,-11,-12,-6,0,-3
