time_tag,kp_index,estimated_kp
1,1,0.67
2,1,0.67
3,1,0.67
4,1,0.67
5,1,0.67
6,1,0.67
7,1,0.67
8,1,0.67
9,1,0.67
10,1,0.67
11,1,0.67
12,1,0.67
13,1,0.67
14,1,0.67
15,1,1.0
16,1,1.0
17,1,1.0
18,1,1.0
19,1,1.0
20,1,1.0
21,1,1.0
22,1,1.0
23,1,1.0
24,1,0.67
25,1,1.0
26,1,1.0
27,1,0.67
28,1,0.67
29,1,0.67
30,1,0.67
31,1,0.67
32,1,0.67
33,1,0.67
34,1,0.67
35,1,0.67
36,1,0.67
37,1,1.0
38,1,1.0
39,1,1.0
40,1,1.0
41,1,1.0
42,1,1.0
43,1,1.0
44,1,1.0
45,1,1.0
46,1,1.0
47,1,1.0
48,1,1.0
49,1,1.0
50,1,1.0
51,1,1.0
52,1,1.0
53,1,1.0
54,1,1.0
55,1,1.0
56,1,1.0
57,1,1.0
58,1,1.0
59,1,1.0
60,1,1.0
61,1,1.0
62,1,1.0
63,1,1.0
64,1,1.33
65,1,1.33
66,1,1.33
67,1,1.33
68,1,1.33
69,1,1.33
70,1,1.33
71,1,1.33
72,1,1.33
73,1,1.33
74,2,1.67
75,2,1.67
76,2,1.67
77,2,1.67
78,2,1.67
79,2,1.67
80,2,1.67
81,2,1.67
82,2,1.67
83,2,2.0
84,2,2.0
85,2,2.0
86,2,2.0
87,2,2.0
88,2,2.0
89,2,2.0
90,0,0.0
91,0,0.0
92,0,0.0
93,0,0.0
94,0,0.0
95,0,0.0
96,0,0.0
97,0,0.0
98,0,0.0
99,0,0.0
100,0,0.0
101,0,0.0
102,0,0.0
103,0,0.0
104,0,0.0
105,0,0.0
106,0,0.0
107,0,0.0
108,0,0.0
109,0,0.0
110,0,0.0
111,0,0.0
112,0,0.0
113,0,0.0
114,0,0.0
115,0,0.0
116,0,0.0
117,0,0.0
118,0,0.0
119,0,0.0
120,0,0.0
121,0,0.0
122,0,0.0
123,0,0.0
124,0,0.0
125,0,0.33
126,0,0.33
127,0,0.33
128,0,0.33
129,0,0.33
130,0,0.33
131,0,0.33
132,0,0.33
133,0,0.33
134,0,0.33
135,0,0.33
136,0,0.33
137,0,0.33
138,0,0.33
139,0,0.33
140,0,0.33
141,0,0.33
142,0,0.33
143,0,0.33
144,0,0.33
145,0,0.33
146,0,0.33
147,0,0.33
148,0,0.33
149,0,0.33
150,0,0.33
151,0,0.33
152,0,0.33
